Task Name,Deadline,Importance,Description,Date Created,Estimation Time,Status
Schedule mock interview,2025-05-29 10:00:00,High,Set up a mock interview with a peer or mentor.,2025-05-26 13:00:00.000000,60 mins,Not Started
Watch system design video,2025-05-30 17:00:00,Medium,Learn about database scaling and caching.,2025-05-26 13:05:00.000000,45 mins,Not Started
Review mentor feedback,2025-05-27 11:00:00,High,Go through the feedback from mentor on task 2.,2025-05-26 13:10:00.000000,30 mins,In Progress
Go to the gym,2025-05-27 07:30:00,Medium,Upper body workout at the gym.,2025-05-26 13:15:00.000000,60 mins,Not Started
Refactor API endpoints,2025-05-28 14:00:00,High,Improve structure and error handling in API.,2025-05-26 13:20:00.000000,120 mins,Not Started
Organize Google Drive,2025-05-31 16:00:00,Low,Move and clean up project files in Drive.,2025-05-26 13:25:00.000000,45 mins,Not Started
Brainstorm hackathon ideas,2025-05-29 18:00:00,High,Come up with 3 project ideas for the summer hackathon.,2025-05-26 13:30:00.000000,60 mins,In Progress
Backup local code,2025-05-28 10:00:00,Medium,Push all local changes to GitHub.,2025-05-26 13:35:00.000000,20 mins,Not Started
Finalize internship weekly update,2025-05-27 09:00:00,High,Prepare and format weekly update for mentor.,2025-05-26 13:40:00.000000,30 mins,In Progress
Read blog on async Python,2025-05-30 20:00:00,Low,Learn about asyncio and concurrent programming in Python.,2025-05-26 13:45:00.000000,40 mins,Not Started
